Date,Time,RSSI(dB),SWR,VSpd(m/s),Alt(m),A2(V),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-12-17,08:47:58.870,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:59.070,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:59.270,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:59.480,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:59.680,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:47:59.880,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:00.080,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:00.280,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:00.480,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:00.680,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
